Article,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Token Count
bctech2011.txt,116,38,0.9999999935064936,0.08840413312950393,1742
bctech2012.txt,22,4,0.9999999615384629,0.06989247293039658,372
bctech2013.txt,29,9,0.9999999736842113,0.07569721100458723,502
bctech2014.txt,19,5,0.999999958333335,0.0629921258189183,381
bctech2015.txt,19,3,0.9999999545454565,0.04856512130559576,453
bctech2016.txt,15,6,0.9999999523809546,0.062130177330975804,338
bctech2017.txt,14,3,0.999999941176474,0.053124999833984374,320
bctech2018.txt,11,2,0.9999999230769291,0.038461538347746925,338
bctech2019.txt,14,12,0.9999999615384629,0.061904761757369614,420
bctech2020.txt,33,9,0.9999999761904769,0.0721649483296135,582
bctech2021.txt,39,7,0.9999999782608701,0.1213720313420263,379
bctech2022.txt,30,6,0.999999972222223,0.06844106450866717,526
bctech2023.txt,23,3,0.9999999615384629,0.05316973404259768,489
bctech2024.txt,35,8,0.9999999767441866,0.07166666654722222,600
bctech2025.txt,32,7,0.999999974358975,0.06341463404322824,615
bctech2026.txt,35,5,0.9999999750000007,0.06837606825918621,585
bctech2027.txt,27,5,0.9999999687500011,0.05574912882273671,574
bctech2028.txt,35,13,0.9999999791666672,0.06896551714229092,696
bctech2029.txt,49,11,0.9999999833333336,0.08333333321759259,720
bctech2030.txt,35,17,0.9999999807692311,0.08427876809679292,617
bctech2031.txt,33,3,0.999999972222223,0.052173912967863896,690
bctech2032.txt,10,1,0.9999999090909174,0.02989130426659972,368
bctech2033.txt,18,8,0.9999999615384629,0.056155507438109056,463
bctech2034.txt,39,26,0.9999999846153849,0.09530791774881538,682
bctech2035.txt,34,18,0.9999999807692311,0.09611829926780352,541
bctech2036.txt,42,11,0.9999999811320759,0.08534621564356487,621
bctech2037.txt,28,16,0.9999999772727278,0.0636758320352014,691
bctech2038.txt,15,3,0.9999999444444475,0.05454545438016529,330
bctech2039.txt,13,3,0.9999999375000038,0.062499999755859376,256
bctech2040.txt,10,1,0.9999999090909174,0.03313253002068515,332
bctech2041.txt,10,3,0.9999999230769291,0.060185184906550074,216
bctech2042.txt,11,5,0.9999999375000038,0.06153846130177515,260
bctech2043.txt,11,2,0.9999999230769291,0.04153354619318356,313
bctech2044.txt,17,3,0.9999999500000024,0.058479531992749904,342
bctech2045.txt,13,5,0.9999999444444475,0.054216867306575704,332
bctech2046.txt,12,2,0.9999999285714337,0.056224899372590766,249
bctech2047.txt,19,2,0.9999999523809546,0.053846153708086784,390
bctech2048.txt,13,3,0.9999999375000038,0.06177606153754416,259
bctech2049.txt,16,8,0.999999958333335,0.06332453809149198,379
bctech2050.txt,17,4,0.9999999523809546,0.06603773564139077,318
bctech2051.txt,24,8,0.9999999687500011,0.06765327681257235,473
bctech2052.txt,23,2,0.9999999600000016,0.07575757552800735,330
bctech2053.txt,16,2,0.9999999444444475,0.0564263321115162,319
bctech2054.txt,20,4,0.999999958333335,0.07667731604895427,313
bctech2055.txt,26,9,0.9999999714285723,0.09999999971428572,350
bctech2056.txt,30,8,0.9999999736842113,0.04960835502662095,766
bctech2057.txt,22,6,0.9999999642857155,0.07197943426226366,389
bctech2058.txt,20,6,0.9999999615384629,0.05555555543684711,468
bctech2059.txt,19,9,0.9999999642857155,0.08974358945595004,312
bctech2060.txt,15,4,0.9999999473684238,0.06312292337832916,301
bctech2061.txt,17,5,0.9999999545454565,0.04081632645488622,539
bctech2062.txt,21,6,0.9999999629629643,0.06026785700833068,448
bctech2063.txt,17,14,0.9999999677419364,0.06783369788220198,457
bctech2064.txt,11,5,0.9999999375000038,0.04747774466623814,337
bctech2065.txt,17,5,0.9999999545454565,0.06077348049510088,362
bctech2066.txt,16,5,0.9999999523809546,0.0830039522410911,253
bctech2067.txt,25,7,0.9999999687500011,0.08579088448849628,373
bctech2068.txt,18,3,0.9999999523809546,0.06344410856965527,331
bctech2069.txt,15,6,0.9999999523809546,0.08641975273078291,243
bctech2070.txt,16,2,0.9999999444444475,0.0882352936851211,204
bctech2071.txt,11,11,0.9999999545454565,0.11111111054994388,198
bctech2072.txt,14,4,0.9999999444444475,0.07826086922495275,230
bctech2073.txt,13,1,0.9999999285714337,0.07999999954285715,175
bctech2074.txt,13,9,0.9999999545454565,0.09090909053343352,242
bctech2075.txt,18,2,0.9999999500000024,0.0591715974580722,338
bctech2076.txt,25,7,0.9999999687500011,0.08290155418937421,386
bctech2077.txt,13,6,0.9999999473684238,0.0465686273368416,408
bctech2078.txt,29,13,0.9999999761904769,0.10319410294055503,407
bctech2079.txt,15,3,0.9999999444444475,0.048257372524779164,373
bctech2080.txt,17,0,0.999999941176474,0.051204819122877054,332
bctech2081.txt,30,6,0.999999972222223,0.05504587147546503,654
bctech2082.txt,15,5,0.9999999500000024,0.053908355649842706,371
bctech2083.txt,18,3,0.9999999523809546,0.060869565040957786,345
bctech2084.txt,10,2,0.9999999166666736,0.05263157871652816,228
bctech2085.txt,16,4,0.9999999500000024,0.054200541858535116,369
bctech2086.txt,16,3,0.9999999473684238,0.05337078636693599,356
bctech2087.txt,12,3,0.9999999333333378,0.04601226979750837,326
bctech2088.txt,13,17,0.9999999666666678,0.10452961636052399,287
bctech2089.txt,17,16,0.9999999696969707,0.09401709374923906,351
bctech2090.txt,11,4,0.9999999333333378,0.03521126752297825,426
bctech2091.txt,10,4,0.9999999285714337,0.04057971002730519,345
bctech2092.txt,15,2,0.999999941176474,0.07083333303819445,240
bctech2093.txt,13,10,0.999999956521741,0.07467532443287232,308
bctech2094.txt,18,6,0.999999958333335,0.07017543839129989,342
bctech2095.txt,9,1,0.99999990000001,0.036496350231765146,274
bctech2096.txt,16,1,0.999999941176474,0.06772908339550165,251
bctech2097.txt,11,3,0.9999999285714337,0.051851851659807956,270
bctech2098.txt,13,3,0.9999999375000038,0.047197639978768025,339
bctech2099.txt,9,2,0.9999999090909174,0.03133903124974635,351
bctech2100.txt,16,3,0.9999999473684238,0.06070287520542213,313
bctech2101.txt,9,7,0.9999999375000038,0.04878048765615705,328
bctech2102.txt,37,2,0.999999974358975,0.0554765290818257,703
bctech2103.txt,37,0,0.9999999729729737,0.04946524057558123,748
bctech2104.txt,9,5,0.9999999285714337,0.050541516063027016,277
bctech2105.txt,14,5,0.9999999473684238,0.053521126609799644,355
bctech2106.txt,16,2,0.9999999444444475,0.07114624477807809,253
bctech2107.txt,12,5,0.999999941176474,0.051359516461149494,331
bctech2108.txt,10,1,0.9999999090909174,0.04313725473279508,255
bctech2109.txt,17,5,0.9999999545454565,0.05699481850519477,386
bctech2110.txt,12,1,0.9999999230769291,0.049808428927937055,261
bctech2111.txt,13,6,0.9999999473684238,0.06129032238293444,310
bctech2112.txt,7,4,0.9999999090909174,0.03971119119237837,277
bctech2113.txt,13,6,0.9999999473684238,0.048101265701009456,395
bctech2114.txt,10,1,0.9999999090909174,0.043650793477576215,252
bctech2115.txt,55,5,0.9999999833333336,0.08849557509071448,678
bctech2116.txt,27,2,0.9999999655172426,0.06029106016571505,481
bctech2117.txt,9,5,0.9999999285714337,0.04560260571464949,307
bctech2118.txt,15,2,0.999999941176474,0.06204379539400075,274
bctech2119.txt,20,5,0.9999999600000016,0.08896797121363711,281
bctech2120.txt,18,4,0.9999999545454565,0.05164319236703476,426
bctech2121.txt,21,4,0.9999999600000016,0.05868544587163041,426
bctech2122.txt,14,5,0.9999999473684238,0.056213017585168584,338
bctech2123.txt,34,4,0.9999999736842113,0.081545064202693,466
bctech2124.txt,8,4,0.9999999166666736,0.052401746496062246,229
bctech2125.txt,15,4,0.9999999473684238,0.05900621099687512,322
bctech2126.txt,7,11,0.9999999444444475,0.034285714220408166,525
bctech2127.txt,34,18,0.9999999807692311,0.0559139784345011,930
bctech2128.txt,26,4,0.9999999666666678,0.050083472370478346,599
bctech2129.txt,6,2,0.9999998750000157,0.0506329110719436,158
bctech2130.txt,10,2,0.9999999166666736,0.06557377013347666,183
bctech2131.txt,17,0,0.999999941176474,0.084999999575,200
bctech2132.txt,19,6,0.9999999600000016,0.12820512754766603,195
bctech2133.txt,14,1,0.9999999333333378,0.09554140066534139,157
bctech2134.txt,11,2,0.9999999230769291,0.07344632726866482,177
bctech2135.txt,22,8,0.9999999666666678,0.061728394934715235,486
bctech2136.txt,8,2,0.99999990000001,0.050761421062124765,197
bctech2137.txt,10,8,0.9999999444444475,0.04411764695069204,408
bctech2138.txt,14,5,0.9999999473684238,0.07692307661164746,247
bctech2139.txt,22,2,0.999999958333335,0.06916426493036235,347
bctech2140.txt,17,5,0.9999999545454565,0.061971830811346953,355
bctech2141.txt,13,0,0.9999999230769291,0.040880503016099044,318
bctech2142.txt,8,2,0.99999990000001,0.033670033556666555,297
bctech2143.txt,11,4,0.9999999333333378,0.05952380928760393,252
bctech2144.txt,10,9,0.9999999473684238,0.073076922795858,260
bctech2145.txt,11,2,0.9999999230769291,0.05462184850999224,238
bctech2146.txt,15,1,0.9999999375000038,0.06584362112821555,243
bctech2147.txt,14,3,0.999999941176474,0.07142857112845138,238
bctech2148.txt,15,3,0.9999999444444475,0.06593406569254921,273
bctech2149.txt,15,5,0.9999999500000024,0.07575757547061525,264
bctech2150.txt,20,2,0.9999999545454565,0.06376811575719386,345
bctech2151.txt,20,9,0.9999999655172426,0.04302670616761616,674
bctech2152.txt,15,8,0.999999956521741,0.05424528289093094,424
bctech2153.txt,20,8,0.9999999642857155,0.04327666144779496,647
bctech2154.txt,29,20,0.9999999795918372,0.051041666613498266,960
bctech2155.txt,18,11,0.9999999655172426,0.09206349177122701,315
bctech2156.txt,7,0,0.9999998571428775,0.03211009159582527,218
bctech2157.txt,7,0,0.9999998571428775,0.03645833314344618,192
